geo_id,do_date,total_pop,households,male_pop,female_pop,median_age,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,white_pop,population_1_year_and_over,population_3_years_over,pop_5_years_over,pop_15_and_over,pop_16_over,pop_25_years_over,pop_25_64,pop_never_married,pop_now_married,pop_separated,pop_widowed,pop_divorced,not_us_citizen_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,hispanic_any_race,not_hispanic_pop,asian_male_45_54,asian_male_55_64,black_male_45_54,black_male_55_64,hispanic_male_45_54,hispanic_male_55_64,white_male_45_54,white_male_55_64,median_income,income_per_capita,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,pop_determined_poverty_status,poverty,gini_index,housing_units,renter_occupied_housing_units_paying_cash_median_gross_rent,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,occupied_housing_units,housing_units_renter_occupied,vacant_housing_units,vacant_housing_units_for_rent,vacant_housing_units_for_sale,dwellings_1_units_detached,dwellings_1_units_attached,dwellings_2_units,dwellings_3_to_4_units,dwellings_5_to_9_units,dwellings_10_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,mobile_homes,housing_built_2005_or_later,housing_built_2000_to_2004,housing_built_1939_or_earlier,median_year_structure_built,married_households,nonfamily_households,family_households,households_public_asst_or_food_stamps,male_male_households,female_female_households,children,children_in_single_female_hh,median_rent,percent_income_spent_on_rent,rent_burden_not_computed,rent_over_50_percent,rent_40_to_50_percent,rent_35_to_40_percent,rent_30_to_35_percent,rent_25_to_30_percent,rent_20_to_25_percent,rent_15_to_20_percent,rent_10_to_15_percent,rent_under_10_percent,owner_occupied_housing_units,million_dollar_housing_units,mortgaged_housing_units,different_house_year_ago_different_city,different_house_year_ago_same_city,families_with_young_children,two_parent_families_with_young_children,two_parents_in_labor_force_families_with_young_children,two_parents_father_in_labor_force_families_with_young_children,two_parents_mother_in_labor_force_families_with_young_children,two_parents_not_in_labor_force_families_with_young_children,one_parent_families_with_young_children,father_one_parent_families_with_young_children,father_in_labor_force_one_parent_families_with_young_children,commute_less_10_mins,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_35_44_mins,commute_60_more_mins,commute_45_59_mins,commuters_16_over,walked_to_work,worked_at_home,no_car,no_cars,one_car,two_cars,three_cars,four_more_cars,aggregate_travel_time_to_work,commuters_by_public_transportation,commuters_by_bus,commuters_by_car_truck_van,commuters_by_carpool,commuters_by_subway_or_elevated,commuters_drove_alone,group_quarters,associates_degree,bachelors_degree,high_school_diploma,less_one_year_college,masters_degree,one_year_more_college,less_than_high_school_graduate,high_school_including_ged,bachelors_degree_2,bachelors_degree_or_higher_25_64,graduate_professional_degree,some_college_and_associates_degree,male_45_64_associates_degree,male_45_64_bachelors_degree,male_45_64_graduate_degree,male_45_64_less_than_9_grade,male_45_64_grade_9_12,male_45_64_high_school,male_45_64_some_college,male_45_to_64,employed_pop,unemployed_pop,pop_in_labor_force,not_in_labor_force,workers_16_and_over,armed_forces,civilian_labor_force,employed_agriculture_forestry_fishing_hunting_mining,employed_arts_entertainment_recreation_accommodation_food,employed_construction,employed_education_health_social,employed_finance_insurance_real_estate,employed_information,employed_manufacturing,employed_other_services_not_public_admin,employed_public_administration,employed_retail_trade,employed_science_management_admin_waste,employed_transportation_warehousing_utilities,employed_wholesale_trade,occupation_management_arts,occupation_natural_resources_construction_maintenance,occupation_production_transportation_material,occupation_sales_office,occupation_services,management_business_sci_arts_employed,sales_office_employed,in_grades_1_to_4,in_grades_5_to_8,in_grades_9_to_12,in_school,in_undergrad_college,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english
10001,1/1/2014,22924,12431,11671,11253,36.7,198,193,389,128,271,81,180,572,1473,1528,793,1240,874,958,574,220,202,166,450,269,141,274,333,323,145,617,204,184,847,1623,1186,762,424,688,458,579,409,245,152,416,437,475,154,318,12182,22819,22552,,,21171,17985,14585,,,,,,3527,1289,5731,3246,36,111,309,3246,19678,228,410,147,36,303,199,1154,685,88526,84765,1096,488,494,442,205,314,383,371,205,515,872,1368,1063,873,945,2797,21955,2912,0.5728,14141,2065,92400,343400,1559100,12431,9178,1710,653,7,185,43,224,104,408,1095,2003,10079,0,779,1510,383,1966,2831,8593,3838,1317,251,0,1983,355,2008,27.4,339,1806,743,625,682,1093,1160,859,584,1287,3253,216,1260,1363,2205,581,416,196,220,0,0,165,56,25,795,1079,2082,2847,929,2452,978,1263,921,13346,4595,919,11467,10401,1778,235,0,17,372575,7084,418,582,148,6256,434,1074,588,6810,1847,318,3676,1144,1483,2219,6810,10792,5423,2050,138,949,953,136,99,565,337,3177,14360,684,15044,6127,14265,0,15044,27,1473,83,2141,3137,684,305,411,311,1257,3914,364,253,9281,93,552,2942,1492,9281,2942,436,527,272,4015,2034,,,
10002,1/1/2014,74993,33540,36230,38763,43.6,1251,1491,1503,960,486,313,362,1867,3727,3468,2367,2129,2703,2499,2230,968,1090,1548,919,1206,1002,1386,1149,1321,904,619,235,488,1498,3866,2703,2199,2347,2789,2293,2652,1654,1583,1113,988,2004,1548,1452,1972,16472,74416,73251,,,66387,59160,43350,,,,,,12407,5249,30847,20390,329,166,1516,20390,54603,2354,1945,479,533,1030,1000,1306,959,35859,32694,4949,4209,2263,2314,1295,1475,1143,1119,1141,1679,2362,2705,1998,1153,1452,2283,74356,20565,0.5838,35724,963,480200,665200,945400,33540,29070,2184,604,61,222,92,367,665,2048,5340,7710,19261,8,42,392,3405,1951,9655,16975,16565,11222,56,53,9965,4331,912,30.9,1462,6636,2467,1970,3369,3317,3333,2886,2020,1610,4470,580,1946,1353,3870,3135,1695,1080,520,60,35,1440,208,95,1257,2066,3960,4103,2025,7079,3175,3995,3754,31414,8385,1390,24938,27689,5359,425,55,12,1025890,17904,1982,2835,1174,15490,1661,1787,2372,12928,10156,1085,5271,3878,20138,11597,12928,18044,7162,7335,460,1726,967,1651,1553,2301,915,9573,33532,2527,36059,30328,32804,0,36059,68,5649,808,7630,3270,1563,1243,1513,925,2715,5954,1408,786,14930,876,2451,6761,8514,14930,6761,2229,2127,2571,12937,3683,,,
10003,1/1/2014,54682,26124,27503,27179,32.3,1094,525,471,250,2711,807,485,1297,3629,3232,2885,1649,1355,1359,1457,205,576,669,798,348,396,673,401,199,264,4271,965,695,1338,4267,2690,1766,1278,1265,925,1226,615,900,529,722,739,521,467,463,38521,54077,53394,,,51188,38236,31803,,,,,,6790,2961,7366,4506,56,143,1074,4506,50176,355,128,92,121,203,251,1971,2238,112131,92781,1220,618,596,631,750,708,662,704,512,1417,1906,2399,1902,1548,2911,7640,45093,3812,0.5571,30876,2298,658800,1001200,1847500,26124,17519,4752,1498,169,490,206,479,866,2243,4516,7829,14247,0,125,203,1499,0,6905,18178,7946,680,321,0,3877,501,2202,25.6,878,3657,1180,837,1368,1456,1830,2560,2204,1549,8605,1472,4295,8397,6091,1920,1729,1119,603,7,0,191,35,35,2448,2649,4078,6472,3583,5354,1750,1461,1797,29592,8673,2462,22620,20198,5198,456,272,0,744770,16389,866,1888,473,15018,1415,10198,1178,16227,1848,453,9077,2181,1486,2279,16227,26450,14432,3812,197,1778,2036,147,286,615,417,5476,32394,1946,34347,16841,32054,7,34340,0,3377,302,6300,6548,2956,764,987,463,2167,7560,324,646,23056,200,420,6117,2601,23056,6117,655,610,419,14891,11012,,,
10004,1/1/2014,3028,1659,1267,1761,37.1,105,0,26,24,9,0,9,15,127,174,185,76,70,228,68,17,1,22,33,0,0,20,51,91,28,19,7,3,74,285,200,207,103,102,238,69,41,68,28,29,70,0,0,28,1834,3010,2951,,,2704,2547,2319,,,,,,563,47,899,112,0,40,79,112,2916,84,0,0,0,0,20,214,126,157645,122165,48,0,11,0,19,0,45,20,4,44,40,110,227,195,250,646,3028,66,0.4393,2139,3235,655700,1640600,2000001,1659,1024,480,71,107,22,0,0,44,24,34,235,1780,0,0,0,52,0,641,950,709,0,0,20,345,40,3180,26.4,50,124,34,120,41,234,135,102,112,72,635,26,422,128,299,125,95,49,46,0,0,30,7,7,169,238,162,311,166,412,153,94,117,1822,503,243,1548,1247,327,71,14,0,46295,1122,11,175,20,1073,155,4,14,1210,50,50,641,97,28,55,1210,2123,1093,161,0,119,299,0,0,6,20,444,2076,97,2173,531,2065,0,2173,0,71,15,271,624,127,52,112,20,76,593,28,87,1581,2,15,428,50,1581,428,54,94,88,383,45,,,
10005,1/1/2014,8831,4374,4003,4828,30.1,189,123,111,71,31,34,108,275,954,612,427,381,360,135,130,0,4,25,0,0,0,333,179,65,36,61,19,53,557,1147,795,668,445,134,102,149,0,2,0,4,51,28,0,0,6132,8756,8516,,,7757,6586,6474,,,,,,1236,219,1497,608,0,63,312,608,8223,68,7,4,9,39,0,355,147,173333,106702,305,69,70,4,36,0,21,51,32,65,241,281,436,377,575,1811,8831,840,0.4414,5585,3226,652700,1415400,1880200,4374,3515,1211,277,81,22,0,3,0,8,38,93,5421,0,0,86,64,0,1425,2760,1614,8,64,3,1107,127,3115,22.4,175,571,208,96,236,365,367,876,472,149,859,212,630,789,1369,601,441,356,85,0,0,160,36,36,1130,465,523,1021,641,1311,856,273,185,6405,2003,292,5723,3746,559,66,3,0,155435,4209,61,121,11,4040,110,17,273,3191,261,14,1618,127,51,296,3191,5715,2634,414,51,188,240,0,3,115,61,658,6762,219,6981,776,6697,0,6981,0,355,39,826,1848,536,115,181,18,362,2317,27,138,4820,90,10,1628,214,4820,1628,198,201,107,1506,494,,,
10006,1/1/2014,3454,1794,1633,1821,31.8,88,78,37,14,0,0,0,149,284,307,214,137,66,14,167,16,0,0,0,0,0,163,38,31,0,0,0,19,132,491,357,237,92,143,37,33,48,0,0,0,0,0,0,0,2183,3410,3293,,,3005,2705,2689,,,,,,543,36,687,414,0,0,134,414,3040,15,40,0,0,0,24,65,165,176250,114611,74,26,0,34,0,0,15,0,0,51,63,186,210,102,297,736,3454,164,0.4163,2343,3229,752800,1140400,1805900,1794,1488,549,84,0,26,0,0,29,36,56,52,2144,0,0,90,58,0,521,1161,633,0,0,0,449,33,3086,23.6,60,121,153,99,184,89,243,192,191,156,306,100,117,141,540,272,253,133,120,0,0,19,0,0,369,207,206,284,215,557,203,210,142,2393,764,181,2061,1452,266,76,0,0,65900,1455,0,126,74,1409,52,0,80,1368,10,0,587,72,16,27,1368,2494,1142,152,41,126,91,0,0,27,24,309,2647,16,2663,342,2574,0,2663,0,96,35,360,761,123,19,10,123,118,885,51,66,2092,19,17,399,120,2092,399,93,53,14,500,156,,,
10007,1/1/2014,7023,2731,4118,2905,36,303,416,118,27,18,17,50,65,259,659,366,469,405,316,130,51,120,101,31,16,15,236,110,178,24,47,9,31,51,210,483,293,316,366,184,175,58,34,54,17,15,0,14,0,5056,6947,6698,,,5648,5323,4889,,,,,,950,294,826,580,0,0,267,580,6443,79,71,57,7,108,25,475,193,246813,147547,45,47,0,0,43,22,17,32,25,107,35,207,104,201,272,1574,6183,145,0.4759,3366,3394,1028100,2000001,2000001,2731,1763,635,59,67,0,15,31,159,229,255,386,2291,0,0,67,14,1985,1380,1266,1465,75,16,0,1412,24,3344,20.5,43,198,30,124,135,138,264,84,196,551,968,98,659,346,627,658,658,343,303,0,12,0,0,0,258,293,434,768,422,732,418,219,91,3635,974,178,2502,2007,632,78,14,0,99430,2112,75,236,19,1928,217,867,17,2269,261,113,1177,167,392,376,2269,3994,1989,297,0,358,325,27,94,138,75,1017,3813,110,3923,1725,3813,0,3923,0,265,75,496,1542,165,56,35,36,153,829,0,161,2797,60,8,802,146,2797,802,475,217,102,1333,143,,,
10009,1/1/2014,57925,29728,26519,31406,37.1,663,830,1104,755,236,127,272,1628,3991,3622,2240,1591,1950,1398,1482,592,810,961,538,264,303,800,600,1004,692,328,319,882,2443,4663,2641,2182,1752,1874,1631,2021,1106,1099,969,946,1055,736,623,1040,29677,57618,57050,,,52360,45242,36405,,,,,,6214,4936,7428,14347,38,44,1455,14347,43578,380,374,468,405,564,691,1913,1158,61548,51655,3707,2452,1163,1425,878,963,728,708,1043,1553,1765,2601,3340,1529,1868,4005,57882,13560,0.5441,31293,1642,156600,608300,961000,29728,27846,1565,706,21,164,13,152,419,2303,5611,7495,15119,17,135,236,8739,1946,6084,19252,10476,5095,127,20,6448,3172,1588,28.9,1439,5143,2616,1601,3300,2560,3474,3420,2658,1635,1882,214,783,2229,4896,1650,887,804,58,25,0,763,63,51,933,1118,2493,4239,2943,7908,3604,2449,3876,29563,6432,1895,24671,24227,5071,397,22,11,943340,18573,3121,1597,219,15140,1378,594,1776,17032,5606,1093,6937,3719,5321,6425,17032,23708,9876,6588,365,1225,1300,333,585,1380,804,5992,32075,1341,33416,18944,31458,0,33416,37,3109,567,6184,3549,2748,1002,1379,867,2401,8874,905,453,19982,506,1018,6222,4347,19982,6222,1020,1945,1881,11177,3157,,,
10010,1/1/2014,33730,16390,17370,16360,34.7,958,313,410,220,595,247,128,1103,2576,2005,1420,1155,1442,786,1079,295,496,714,320,180,307,741,684,460,124,822,425,322,851,2186,2007,1320,1306,660,785,776,149,331,289,304,796,312,353,357,21570,33431,32646,,,29919,25327,20604,,,,,,3570,1728,5773,3703,230,135,591,3703,30027,221,155,324,239,431,97,1235,1218,117923,93605,603,622,400,611,395,454,328,447,210,657,817,1678,1292,1453,1344,5079,31076,3952,0.5366,18535,2590,551900,788200,1339200,16390,11739,2145,911,133,506,76,320,129,276,941,2484,13763,0,140,157,2076,1962,4842,10681,5709,974,199,43,3910,236,2474,25.9,436,2057,1173,625,522,1542,1001,1420,1386,1577,4651,718,2655,3192,4933,1786,1705,1551,128,0,26,81,35,35,1246,1511,2298,4682,1598,3757,1486,1528,1064,19170,5268,1407,14287,12369,3497,342,182,0,536050,11437,1834,1133,239,9153,894,3362,587,9368,1905,342,6011,1373,981,2190,9368,17352,10486,2302,73,865,1783,68,184,623,332,3928,20602,859,21609,8310,20577,148,21461,0,1183,195,4540,4514,1472,480,1057,618,1395,4660,293,195,14926,303,313,3504,1556,14926,3504,736,770,379,6855,3052,,,
10011,1/1/2014,50472,29128,26058,24414,40.6,742,831,523,345,215,167,275,838,2525,3124,2697,2195,2011,1426,2224,716,694,844,724,395,396,804,521,564,353,322,223,272,1051,3265,3460,1599,1677,1761,1004,1744,606,791,443,691,1182,989,495,597,36075,49930,49446,,,46173,42426,34260,,,,,,6407,2382,4627,5704,0,229,1450,5704,44768,425,166,160,414,249,685,2507,3223,128613,121991,1763,1147,829,757,821,534,448,573,288,1260,1399,2199,2266,2107,3236,9501,49475,5483,0.5679,33707,2115,574100,964200,2000001,29128,18181,4579,620,86,473,499,572,805,2563,3847,7969,16793,75,324,336,1879,0,6930,20466,8662,2328,726,133,4683,1319,2046,23.7,695,3585,825,999,1176,1672,1872,2334,2282,2741,10947,1382,5722,2221,4916,1767,1091,861,168,62,0,676,127,127,2227,2840,4761,6700,3249,5552,1942,1781,1575,30627,8222,2316,24522,23194,5304,374,185,71,779790,18205,590,2077,427,16993,1650,1484,1345,17417,1898,584,10198,2759,1867,2442,17417,27996,16012,4688,240,3083,2553,242,260,553,881,7812,33579,1296,34906,11267,32943,31,34875,0,2571,303,5536,7058,3834,870,1353,951,2150,7669,426,858,24061,306,615,6391,2206,24061,6391,1060,841,854,6855,2352,,,
10012,1/1/2014,23411,12041,11579,11832,33.9,431,179,234,178,104,91,289,936,1745,1671,998,709,740,793,424,194,378,370,204,157,142,391,214,162,189,171,199,214,998,2418,1542,943,731,419,515,353,235,261,389,496,389,314,84,205,16332,23149,22771,,,21692,18431,15109,,,,,,3547,596,4055,1494,25,15,894,1494,21917,189,160,53,28,100,60,1081,739,109037,90389,890,322,447,134,160,215,398,277,217,563,993,824,1410,852,1274,3065,22247,2591,0.5429,14052,2280,824100,1669400,2000001,12041,9870,2011,384,40,112,51,89,518,1692,2497,5038,4055,0,21,43,537,0,3198,8011,4030,580,57,31,1978,288,2188,25.7,396,1802,795,517,733,1038,1129,1125,1234,1101,2171,257,943,1862,3126,895,797,581,216,0,0,98,90,90,1500,1486,1967,2856,897,2420,816,678,727,13347,4102,1257,11593,9978,1838,198,27,0,325015,7464,175,675,217,6955,458,1405,486,8203,970,133,3613,785,937,1260,8203,12799,6627,1404,125,878,957,169,52,201,187,2569,14756,523,15283,6409,14604,4,15279,0,1404,169,3101,3011,803,357,417,177,1198,3650,130,339,10779,177,218,2624,958,10779,2624,331,338,384,4720,1516,,,
